,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H2A.H4R3me2,1.8847360330826721,0.022705849504352393,0.03789110570363885,0.025919635631082016,0.01931230617901747,0.05351419893592002,0.018534565786218593,0.025577992081166734,0.03280678474336751,0.020191098425266674,0.03147102001811275,0.01638415120998582,0.018216459529122098,0.03819262965365944,0.016214036343707328,0.008611158216839776,0.02481184595927033,0.031099891154954484,0.034366707783709316,0.021768124578421144,0.039327213601872746,0.020588848545192384,0.03181086160276703,0.006585360356724301,0.025481689425836507,0.007215038776454463,0.031439247219203104,0.018142638439448966,0.012832447106216449,0.01431493422844099,0.021625581158789764,0.00830004276259455,0.02402839924584388,0.011627671008192841,0.009856415112606598,0.0216457232059879,0.01362941334699741,0.021402685671299437,0.025019042936960112
H2AZ,0.022705849504352393,3.3758369208815258,0.21969915971595366,0.0717099957683125,0.1019002451819695,0.42406148025368573,0.04324401283931145,0.010497331182131475,0.021448442369641718,0.03040681518336985,0.010406972190780905,0.014017882230286105,0.009194105423685706,0.10321296228759191,0.008388792753560637,0.003448259132540432,0.028261473960506933,0.025749014375031187,0.014487378759812763,0.2693404282209624,0.014975483235786236,0.14184935180217906,0.3084252446768021,0.00821121249210588,0.30860143312022537,0.01881896796413507,0.30181498040265176,0.20930300690818715,0.213426712848225,0.3028678626588741,0.15879299146936532,0.061223075001686666,0.13085716740342868,0.029442043323296474,0.054496415411652954,0.1944739421637962,0.13335082252378871,0.1663598875809731,0.2205477123275612
H2BK5me1,0.03789110570363885,0.21969915971595366,4.788886571234882,0.2009488417704297,0.04344363275719054,0.2638085718926,0.05714011498587013,0.011391233950741153,0.017147287326057636,0.11469771550780195,0.012820861229469571,0.010743577625498268,0.037181430512745806,0.07680220648235192,0.02677223185300104,0.003448327389329542,0.02188108141341516,0.09319152573183764,0.03300528729716401,0.521889903242986,0.024075030324834046,0.08079241313338237,0.17517582503290186,0.008254228970370647,0.14591704129672856,0.018878658030415885,0.1689871120059312,0.13879996097399072,0.10355286751750903,0.0970380029828064,0.10078927594169151,0.020215304362558584,0.08327074070368568,0.02212702047184756,0.031306505367401094,0.11886263624892557,0.10482088140797785,0.10634839152768905,0.12727697261700932
H3K4me1,0.025919635631082016,0.0717099957683125,0.2009488417704297,5.634043039252456,0.1268781792419773,0.2579961001166957,0.17038806625189196,0.015452604947773452,0.03564539776046072,0.16215022694792758,0.028978121213227404,0.010926873456986286,0.05850713234198679,0.05514986743040495,0.011754418237220676,0.004379840707819049,0.03365508193087052,0.04898785897968061,0.014594579041894207,0.08297622345754618,0.04100967214342788,0.05102136704302396,0.13229070841964585,0.037437186234040354,0.06413999983323038,0.0401325156334682,0.07810105771877218,0.053296388661543403,0.04463335574651062,0.028892009466712665,0.048389328607035154,0.024529274500098452,0.07957417404301736,0.09715855222535197,0.025748393944160064,0.05359141120053934,0.028517783600680247,0.044956866373993876,0.05938687974632373
H3K4me2,0.01931230617901747,0.1019002451819695,0.04344363275719054,0.1268781792419773,5.467304724908741,0.210228464305116,0.4338593701198743,0.012291401799036983,0.037719469771444025,0.053926035117383364,0.013148469993646827,0.011034536858560706,0.04105030230691398,0.038990785453108856,0.007789883313453316,0.004407741954868705,0.03342635696392193,0.010553230546612724,0.012338867467444281,0.05176791921279644,0.05542476917267525,0.0449936141486873,0.09774605025583938,0.02956027665363692,0.0812608510395112,0.09887029997329133,0.09840957179872944,0.0532629409499652,0.08791671114586386,0.0722422516446759,0.05780142471481753,0.020884744812359912,0.054152373375032425,0.01921118153772028,0.01406008425258598,0.05269678682047818,0.0400495989143117,0.053354839561887246,0.061456694454189886
H3K4me3,0.05351419893592002,0.42406148025368573,0.2638085718926,0.2579961001166957,0.210228464305116,5.36843671215315,0.07160507883730283,0.027761817364343244,0.019550479834287593,0.0987362602940447,0.04009864703618593,0.01867667902974013,0.02058011642800217,0.12169886613715342,0.01311514506588729,0.006778695660128342,0.05062887500780455,0.0484543483113864,0.02768581570744466,0.1597840583464123,0.026383864649902833,0.17511255924435964,0.5624354698760214,0.01580186019261376,0.29240637928207924,0.03371167214130999,0.3839204145988475,0.21252895269950045,0.13929234151111025,0.1596534151232305,0.14927787089478528,0.06480365069165117,0.18576259467880973,0.06412218445225193,0.10162194055377594,0.2508124684067834,0.13195450240156603,0.1631245118067035,0.24488251219685964
H3K9me1,0.018534565786218593,0.04324401283931145,0.05714011498587013,0.17038806625189196,0.4338593701198743,0.07160507883730283,4.9741199662770805,0.011250147609316308,0.044405593730273196,0.10213486167812924,0.012197971812189401,0.009034413174322076,0.05137159566990235,0.03371988189718422,0.012640506612406455,0.0035581273467180097,0.035414679853505326,0.015914204226590734,0.011832702929572392,0.05992622053717511,0.062396010334376584,0.028651387822757002,0.031342926474131616,0.02203741845425622,0.03989275394538794,0.06063213737792328,0.040228958580128094,0.025470680697180725,0.04138483118602032,0.03633623656923746,0.040926888387391,0.01576306673720751,0.03812099175810957,0.016836440887534998,0.008416723984805863,0.020807008188683085,0.020362907577293754,0.03384252021892564,0.031122768977914106
H3K9me2,0.025577992081166734,0.010497331182131475,0.011391233950741153,0.015452604947773452,0.012291401799036983,0.027761817364343244,0.011250147609316308,2.2540679694409125,0.021048257799614944,0.017476704351387262,0.03027320399889577,0.017007927935048794,0.014905656007867307,0.018410078932673102,0.013729841919456476,0.008367430927614716,0.01870371589186881,0.014637836146456529,0.014840343171628412,0.019993005218592153,0.02295264854856116,0.007508065817958709,0.012918284850199413,0.010977426558278935,0.00885292089181089,0.007039726670853064,0.010033060266425586,0.008198243976647923,0.012541955579711939,0.009784870386099875,0.009825823213652995,0.008479715589471581,0.011318562103207697,0.01035164987544146,0.005483399747613582,0.007718532991271232,0.007308441069426408,0.008930704079051388,0.00952007060825455
H3K9me3,0.03280678474336751,0.021448442369641718,0.017147287326057636,0.03564539776046072,0.037719469771444025,0.019550479834287593,0.044405593730273196,0.021048257799614944,0.8283536358441467,0.00991262066766918,0.016722318234619227,0.013947695947100325,0.009194026543077882,0.054146234893324596,0.011344066760352156,0.006317733877889475,0.06752627937506439,0.009087032800377148,0.018057978439014466,0.02238972886193391,0.09933760009497572,0.023738848460974182,0.014011808826793093,0.006297031870065695,0.028144361113805694,0.009698427463450177,0.030352108768860298,0.01629935313049735,0.023223122636271576,0.019272196277509757,0.027970334849388045,0.012707714783686264,0.03153182884724792,0.009133189368978112,0.004654768312367441,0.017970371798811335,0.013720281948980784,0.02649292889438648,0.02803937638611753
H3K27me1,0.020191098425266674,0.03040681518336985,0.11469771550780195,0.16215022694792758,0.053926035117383364,0.0987362602940447,0.10213486167812924,0.017476704351387262,0.00991262066766918,3.762742041794493,0.042298066625276576,0.010646643526259325,0.04118259143238312,0.04751286976628055,0.010702033044753811,0.0063104936829603275,0.01725361875799969,0.026561800856779172,0.009296887769989937,0.042419406091333656,0.012458274816478543,0.019458045955419223,0.049342289408000894,0.028571972731712414,0.020514826144951925,0.03884868170920175,0.03215964362045298,0.023417637634786992,0.01782598187191997,0.012581250030200053,0.017802488698940522,0.010037803874974216,0.027907359563188905,0.03386699418178285,0.015612255701313416,0.03194638112118131,0.017496771469259542,0.015673265368397082,0.024520127888852272
